ID,Location,area,perimeter
1,N,0.567645026,4.823887405
2,N,0.332480371,3.00168601
3,N,0.028787951,0.936260083
4,N,0.09944463,1.608708792
5,N,0.164430099,2.154908978
6,N,0.185854618,4.126734012
7,N,0.04031879,0.893364504
9,N,0.185132099,2.164926101
10,N,0.114530816,2.350246086
8,N,0.040971024,1.072486982
11,N,0.087795925,1.979781541
12,N,0.08117606,1.674499965
13,N,1.020740797,7.317093587
14,N,0.247968616,3.289648492
15,N,0.065071764,1.450350192
16,N,0.115388797,1.798654368
17,N,0.080963648,1.086928867
18,N,0.04222258,1.023939376
19,N,0.094913016,2.169822866
20,N,0.041201776,1.050646068
21,N,0.246979131,5.744691071
22,N,0.077896183,1.911920326
23,N,0.081265638,1.840458581
24,N,0.23696809,4.003642243
25,N,0.01621307,0.678281108
26,N,0.131779508,2.925767928
27,N,0.026261912,0.636403692
28,N,0.426710563,5.46670921
29,N,0.066047947,1.155650106
30,N,0.018394098,0.618418261
31,N,0.061276511,1.857750208
